SoC (%),R0 (Ohm),R1 (Ohm),C1 (Farad),OCV (V)
90,0.0027924289699860164,0.005190474649190222,8591.206463251494,3.326
80,0.0029649693494053376,0.003532098494450168,9944.44213327775,3.297
70,0.0028806436888769906,0.0035648835784588715,10288.673841190932,3.289
60,0.0029482137636666905,0.0033131301616912863,8639.023512083164,3.288
50,0.0028892469865958756,0.003400470770909281,8279.906573620954,3.282
40,0.002585650307915418,0.0038364611264816604,7638.375226040801,3.253
30,0.0031885918023259042,0.004135027671678568,8499.343864904533,3.223
20,0.0029780722340477304,0.005384176375181412,7056.299118780867,3.194
10,0.001750871445570295,0.049999999999999996,2047.39894833468,2.779
0,0.0012296410316520153,0.049999999999999996,676.278326438412,2.655
